timestamp,motor.m1,motor.m2,motor.m3,motor.m4,pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm,pm.vbatMV,stateEstimate.x,stateEstimate.y,stateEstimate.z,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz,stateEstimate.ax,stateEstimate.ay,stateEstimate.az,stateEstimate.roll,stateEstimate.yaw
0.0,0,0,0,0,0,0,0,0,3716,0.024095825850963593,-0.021349595859646797,-0.0022025280632078648,-0.001524588093161583,-0.0007648176979273558,-0.0007270497153513134,-0.0009667779668234289,-0.0004611297626979649,-0.0011352896690368652,-0.7286803722381592,-13.84040641784668
9.885000000000218,0,0,0,0,0,0,0,0,3716,0.02411317080259323,-0.021215170621871948,-0.0021446540486067533,-0.0015735799679532647,-2.820642475853674e-05,-0.00010959841893054545,0.0012204573722556233,0.0007445156225003302,-0.0005897283554077148,-0.7338546514511108,-13.852412223815918
19.774999999999636,0,0,0,0,0,0,0,0,3710,0.024098124355077744,-0.021215271204710007,-0.0021459385752677917,-0.001435583340935409,7.69593407312641e-06,-0.0001469363342039287,0.0017938462551683187,-0.0021214433945715427,0.0020318031311035156,-0.7332947850227356,-13.837700843811035
29.662000000000262,0,0,0,0,0,0,0,0,3710,0.0240665040910244,-0.021151021122932434,-0.0021628933027386665,-0.001520122867077589,0.00015622937644366175,0.0001537991629447788,-0.000995368231087923,-0.0008992074290290475,0.0002200603485107422,-0.7349066138267517,-13.847137451171875
39.53900000000067,0,0,0,0,0,0,0,0,3710,0.024050762876868248,-0.021149877458810806,-0.0021612083073705435,-0.0016283000586554408,7.193745841505006e-05,0.00018360462854616344,-0.0016940555069595575,0.001233865274116397,-0.0007128119468688965,-0.7334086298942566,-13.832170486450195
49.4320000000007,0,0,0,0,0,0,0,0,3710,0.02413194067776203,-0.021140601485967636,-0.0021012574434280396,-0.0014899148372933269,0.0003971801488660276,0.0008182538440451026,0.0012153240386396646,0.0018600745825096965,0.000991225242614746,-0.7337576746940613,-13.845147132873535
59.31000000000131,0,0,0,0,0,0,0,0,3710,0.024117842316627502,-0.02113594301044941,-0.0020928457379341125,-0.0013298809062689543,0.0005341069772839546,0.0008644871413707733,0.002735927002504468,-0.0008804358076304197,-2.8133392333984375e-05,-0.7331191301345825,-13.830936431884766
69.20100000000093,0,0,0,0,0,0,0,0,3705,0.024055229499936104,-0.0210823155939579,-0.0020703391637653112,-0.0013649549800902605,0.0007728278287686408,0.0012287429999560118,-0.0014298425521701574,-0.0004043335502501577,0.0030007362365722656,-0.734417200088501,-13.842143058776855
79.07700000000114,0,0,0,0,0,0,0,0,3710,0.02404085174202919,-0.02107500098645687,-0.0020567839965224266,-0.0015108061488717794,0.0006897604907862842,0.0014826827682554722,-0.0029012784361839294,-0.0018729318398982286,0.001189589500427246,-0.7338921427726746,-13.829085350036621
88.96200000000135,0,0,0,0,0,0,0,0,3710,0.024029286578297615,-0.02116052433848381,-0.002005120972171426,-0.0018368617165833712,0.0002906339359469712,0.0019906172528862953,-0.0008349462295882404,0.0004676935204770416,-0.000901341438293457,-0.7311246395111084,-13.845844268798828
98.84699999999975,0,0,0,0,0,0,0,0,3710,0.02401055209338665,-0.021157335489988327,-0.001985570415854454,-0.00191000965423882,0.0003466437628958374,0.0019198741065338254,-0.0002924458240158856,0.0012421858264133334,-0.0005446672439575195,-0.7286651730537415,-13.832280158996582
108.7380000000012,0,0,0,0,0,0,0,0,3710,0.024158533662557602,-0.02156243659555912,-0.002184939105063677,-0.0013638100354000926,-0.0012384811416268349,0.0002556221152190119,-0.001130718388594687,-0.0026710566598922014,-0.0010595917701721191,-0.7176644206047058,-13.86888313293457
118.61599999999999,0,0,0,0,0,0,0,0,3710,0.02414429932832718,-0.021575933322310448,-0.002182542346417904,-0.0014826388796791434,-0.0014614078681915998,0.0002241075853817165,-0.0005511746858246624,-0.0013722925214096904,0.002692580223083496,-0.7171269059181213,-13.854358673095703
128.5030000000006,0,0,0,0,0,0,0,0,3710,0.024149399250745773,-0.02134290523827076,-0.002118821023032069,-0.0014678791631013155,-1.815645919123199e-05,0.0012509900843724608,-0.00023297696316149086,-0.0006315399659797549,0.004045844078063965,-0.7282364368438721,-13.867416381835938
138.38500000000022,0,0,0,0,0,0,0,0,3710,0.024134675040841103,-0.021343616768717766,-0.0021045643370598555,-0.0014769209083169699,-0.00012448857887648046,0.0016007072990760207,-0.0005196096026338637,-0.0007881890051066875,0.0005611181259155273,-0.7269800901412964,-13.854447364807129
148.27000000000044,0,0,0,0,0,0,0,0,3710,0.024072103202342987,-0.020955268293619156,-0.0018066012999042869,-0.0019316209945827723,0.0022299960255622864,0.004200147930532694,-0.0008889907039701939,-0.0012762550031766295,0.0015715360641479492,-0.743867814540863,-13.8258695602417
158.15400000000045,0,0,0,0,0,0,0,0,3710,0.024052392691373825,-0.02093358151614666,-0.0017637873534113169,-0.0020110381301492453,0.0021069429349154234,0.004363056272268295,-0.0015438718255609274,-0.0013698175316676497,0.0033682584762573242,-0.7434952855110168,-13.812361717224121
168.04299999999967,0,0,0,0,0,0,0,0,3710,0.024147773161530495,-0.02101651392877102,-0.001812446746043861,-0.001566229504533112,0.0014041548129171133,0.004119738005101681,0.0007891805144026875,-0.00048233228153549135,0.0017573833465576172,-0.7389352917671204,-13.82535171508789
