timestamp,motor.m1,motor.m2,motor.m3,motor.m4,pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm,pm.vbatMV,stateEstimate.x,stateEstimate.y,stateEstimate.z,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz,stateEstimate.ax,stateEstimate.ay,stateEstimate.az,stateEstimate.roll
0.0,0,0,0,0,0,0,0,0,3795,-0.029700294137001038,0.011650627478957176,-0.0003407091717235744,-0.0013802493922412395,-0.0022426717914640903,-0.0009652487933635712,0.00016538634372409433,0.0006114490679465234,0.0014507770538330078,-1.0805913209915161
9.896999999999025,0,0,0,0,0,0,0,0,3795,-0.029714016243815422,0.011628331616520882,-0.00034971674904227257,-0.0013637341326102614,-0.0022168438881635666,-0.0008359241764992476,-0.0013951550936326385,-0.0002828282304108143,-0.00119096040725708,-1.0802913904190063
19.771999999999025,0,0,0,0,0,0,0,0,3795,-0.02971695549786091,0.011585508473217487,-0.0003767141024582088,-0.0013627734733745456,-0.0023635784164071083,-0.0010398285230621696,-0.0006608348921872675,-2.485733239154797e-05,-0.0024092793464660645,-1.0785216093063354
29.664999999999054,0,0,0,0,0,0,0,0,3795,-0.029730791226029396,0.011561831459403038,-0.00038807690725661814,-0.0014037784421816468,-0.00237211212515831,-0.001232424285262823,-0.0030511622317135334,-0.0018464268650859594,-0.003109753131866455,-1.077445149421692
39.547999999998865,0,0,0,0,0,0,0,0,3795,-0.029718734323978424,0.011532291769981384,-0.0004050428105983883,-0.0014374015154317021,-0.0025501782074570656,-0.0015306861605495214,-0.0004320539883337915,-0.002975726965814829,-0.0017306804656982422,-1.0758696794509888
49.45099999999911,0,0,0,0,0,0,0,0,3795,-0.029710091650485992,0.011608688160777092,-0.00036613273550756276,-0.0014666233910247684,-0.0020793783478438854,-0.0012265013065189123,-0.002917901612818241,-0.00047203004942275584,-0.0017987489700317383,-1.0815038681030273
59.31999999999971,0,0,0,0,0,0,0,0,3795,-0.02967400662600994,0.011531724594533443,-0.0004032398865092546,-0.0014715988654643297,-0.0024786959402263165,-0.0015933908289298415,-0.0008518635877408087,-0.0013286338653415442,-0.0004292130470275879,-1.0794951915740967
69.21500000000015,0,0,0,0,0,0,0,0,3795,-0.02967885509133339,0.011620661243796349,-0.00032988449675031006,-0.0015761253889650106,-0.0019242644775658846,-0.0009046611376106739,-0.0012580540496855974,-0.0015266184927895665,3.337860107421875e-05,-1.0836784839630127
79.09399999999914,0,0,0,0,0,0,0,0,3795,-0.029663244262337685,0.011546459048986435,-0.00036343143437989056,-0.0015471454244107008,-0.002295790007337928,-0.001167365349829197,-0.0006112871924415231,-0.0019930393900722265,0.0004407167434692383,-1.0809078216552734
88.98199999999997,0,0,0,0,0,0,0,0,3795,-0.029629874974489212,0.01168004795908928,-0.0003338163369335234,-0.0014504611026495695,-0.0018037825357168913,-0.0007283702143467963,-0.0014010996092110872,-0.0016507566906511784,-0.001326918601989746,-1.08547043800354
98.86299999999937,0,0,0,0,0,0,0,0,3795,-0.02954811044037342,0.011579650454223156,-0.000353054900187999,-0.001197320525534451,-0.002226579934358597,-0.0009246161207556725,-0.0017609320348128676,-0.0004711925867013633,-0.0025266408920288086,-1.0827959775924683
108.77099999999882,0,0,0,0,0,0,0,0,3795,-0.029536133632063866,0.011689468286931515,-0.0002992597292177379,-0.0013096675975248218,-0.0017883921973407269,-0.000582467473577708,-0.00015731841267552227,-0.0007407762459479272,0.0009169578552246094,-1.0865620374679565
118.6369999999988,0,0,0,0,0,0,0,0,3795,-0.02955089695751667,0.011624515987932682,-0.00033726025139912963,-0.0013459454057738185,-0.0019646906293928623,-0.0008522350108250976,-0.0008970124181360006,-0.0045608594082295895,0.00014579296112060547,-1.0835679769515991
128.52299999999923,0,0,0,0,0,0,0,0,3795,-0.02956462651491165,0.011602874845266342,-0.00034544029040262103,-0.0013992744497954845,-0.0023637996055185795,-0.0007834493299014866,-0.001563658588565886,-0.0022927841637283564,-0.0003324151039123535,-1.0821034908294678
138.40499999999884,0,0,0,0,0,0,0,0,3795,-0.029613478109240532,0.011564372107386589,-0.00037047959631308913,-0.001619356800802052,-0.0027148500084877014,-0.0009377158130519092,-0.001133869867771864,-0.0012911445228382945,-0.0003025531768798828,-1.080142855644226
148.3050000000003,0,0,0,0,0,0,0,0,3795,-0.029543016105890274,0.011719129048287868,-0.0003878279239870608,-0.0014304587384685874,-0.00193582265637815,-0.0008916450315155089,0.0005910521722398698,-0.00229213060811162,-8.159875869750977e-05,-1.0861626863479614
158.17399999999907,0,0,0,0,0,0,0,0,3795,-0.02962520904839039,0.011710687540471554,-0.00040942401392385364,-0.0015661516226828098,-0.002073894953355193,-0.0009844754822552204,0.0006250246660783887,-0.002058371901512146,-0.0025458931922912598,-1.0839613676071167
168.0679999999993,0,0,0,0,0,0,0,0,3795,-0.029629159718751907,0.011795757338404655,-0.0003518596349749714,-0.001517893630079925,-0.0017773840809240937,-0.0005841663805767894,-0.0009574372670613229,-0.0021004958543926477,-0.0015109777450561523,-1.0858798027038574
177.9449999999997,0,0,0,0,0,0,0,0,3795,-0.02974017709493637,0.011755133979022503,-0.00041822160710580647,-0.001795231131836772,-0.002076218370348215,-0.0012338956585153937,-0.0005904140416532755,0.000854171346873045,-0.0038443803787231445,-1.0839860439300537
187.83499999999913,0,0,0,0,0,0,0,0,3795,-0.029736202210187912,0.011859152466058731,-0.00037180446088314056,-0.0018485242035239935,-0.001533079193904996,-0.0010036799358204007,-0.0009541066247038543,-0.0007405451033264399,-0.002042829990386963,-1.08726966381073
