timestamp,motor.m1,motor.m2,motor.m3,motor.m4,pwm.m1_pwm,pwm.m2_pwm,pwm.m3_pwm,pwm.m4_pwm,pm.vbatMV,stateEstimate.x,stateEstimate.y,stateEstimate.z,stateEstimate.vx,stateEstimate.vy,stateEstimate.vz,stateEstimate.ax,stateEstimate.ay,stateEstimate.az,stateEstimate.roll,stateEstimate.yaw
3973.8860000000004,40951,25183,44631,37087,45634,31975,48117,42740,3478,-0.06960034370422363,-0.12835586071014404,0.31782203912734985,0.002168661914765835,0.13778425753116608,0.5198606252670288,0.02269049733877182,0.14752750098705292,-0.04500412940979004,-9.758341789245605,6.824976921081543
3983.7859999999982,43439,28185,41523,34137,47271,34900,45968,40272,3483,-0.06956642866134644,-0.12689529359340668,0.3229987919330597,0.004622945562005043,0.15436804294586182,0.5156428217887878,0.009870802983641624,0.14008571207523346,-0.050354182720184326,-9.294930458068848,6.81609582901001
3993.6540000000005,42218,27360,42098,34448,46379,34049,46296,40472,3489,-0.06991340219974518,-0.1233493909239769,0.3291473686695099,0.006784235127270222,0.17937400937080383,0.5152626633644104,0.02005557157099247,0.12567734718322754,-0.04951035976409912,-8.716392517089844,6.780179023742676
4003.549000000001,43336,30352,40760,31232,47131,36881,45361,37680,3489,-0.06983272731304169,-0.1214827448129654,0.3342713415622711,0.00936128944158554,0.19404615461826324,0.5097770094871521,0.024461116641759872,0.09556214511394501,-0.09219104051589966,-7.933154106140137,6.753518104553223
4013.4230000000007,42081,28007,41723,32973,46285,34676,46038,39217,3489,-0.06993090361356735,-0.11806333065032959,0.34032025933265686,0.011857203207910061,0.2147718071937561,0.5068262219429016,0.02776517905294895,0.08931571990251541,-0.07229214906692505,-7.1233811378479,6.8269219398498535
4023.3289999999997,41201,29193,42431,31735,45673,35805,46524,38130,3489,-0.06979849934577942,-0.11585712432861328,0.34534910321235657,0.01463355217128992,0.22661054134368896,0.49918055534362793,0.026891032233834267,0.07603336125612259,-0.08366090059280396,-6.250940799713135,6.807785987854004
4033.194999999998,39727,28963,43647,32075,44614,35588,47336,38431,3489,-0.06963808089494705,-0.11353985965251923,0.3502984642982483,0.017464958131313324,0.23698532581329346,0.4908973276615143,0.017262428998947144,0.057451434433460236,-0.0959438681602478,-5.422492504119873,6.786472320556641
4043.0919999999987,38431,29139,44853,31969,43582,35700,48040,38280,3494,-0.06944949924945831,-0.11112600564956665,0.3551595211029053,0.020273782312870026,0.24593102931976318,0.48147767782211304,0.026928428560495377,0.03159929811954498,-0.10764187574386597,-4.6710524559021,6.764285087585449
4052.967999999999,38384,27814,44734,33564,43546,34438,47965,39665,3494,-0.06923341006040573,-0.10862908512353897,0.35992130637168884,0.022975310683250427,0.25359123945236206,0.47101065516471863,0.023821502923965454,0.024098660796880722,-0.11846774816513062,-4.015533924102783,6.737367153167725
4062.8629999999994,37667,27271,45567,34255,42998,33911,48485,40249,3494,-0.0689912959933281,-0.10606123507022858,0.36457177996635437,0.02548765204846859,0.26011183857917786,0.45918193459510803,0.01810147613286972,0.02240552194416523,-0.10565203428268433,-3.4456357955932617,6.702093601226807
4072.736999999999,37201,25313,45295,35539,42636,31962,48317,41310,3494,-0.06879843026399612,-0.10179471224546432,0.3710393011569977,0.02745317853987217,0.2757127583026886,0.4603370726108551,0.016352610662579536,0.01943551003932953,-0.11576056480407715,-3.0127921104431152,6.715722560882568
4082.629999999999,38347,27423,44089,33713,43518,34059,47552,39792,3494,-0.06851357966661453,-0.09901339560747147,0.37558549642562866,0.029552040621638298,0.2806515693664551,0.44896265864372253,0.006041227374225855,0.019724661484360695,-0.10825282335281372,-2.559561252593994,6.671989440917969
4092.504999999999,38197,25463,43861,35175,43404,32114,47404,41013,3494,-0.06824377179145813,-0.09524726122617722,0.3813444972038269,0.031048165634274483,0.29057833552360535,0.4460856318473816,0.002761668525636196,0.01328433770686388,-0.108234703540802,-2.1679606437683105,6.640424728393555
4102.404,39514,26636,42438,34264,44390,33287,46458,40257,3494,-0.0679246336221695,-0.09232378005981445,0.3857525587081909,0.03279849886894226,0.29420652985572815,0.4355725944042206,0.008002710528671741,0.00021985401690471917,-0.1224672794342041,-1.7306572198867798,6.58662748336792
4112.283999999998,40018,26702,41684,34036,44759,33352,45941,40065,3494,-0.06766679883003235,-0.08889703452587128,0.3909357786178589,0.03356339782476425,0.29994675517082214,0.4291693866252899,0.00720212422311306,0.00045103486627340317,-0.1151728630065918,-1.286818504333496,6.583667278289795
4122.1720000000005,40982,28282,40750,32702,45450,34888,45285,38922,3494,-0.06732327491044998,-0.08588685840368271,0.39517027139663696,0.03514385595917702,0.3021947741508484,0.4177631437778473,-0.005620195996016264,-0.010485204868018627,-0.12107330560684204,-0.8028634190559387,6.522270202636719
