timestamp,stateEstimate.x,stateEstimate.y,stateEstimate.z,controller.cmd_thrust,controller.cmd_roll,controller.cmd_pitch,controller.cmd_yaw,controller.r_roll,controller.r_pitch,controller.r_yaw,controller.accelz,controller.actuatorThrust,controller.roll,controller.pitch,controller.yaw,controller.rollRate,controller.pitchRate,controller.yawRate,controller.ctr_yaw
0.0,0.02182493731379509,-0.026529232040047646,0.0004053790180478245,0.0,0.0,0.0,0.0,-0.0033748578280210495,-0.002812975086271763,0.0012516541173681617,0.9997816681861877,0.0,0.0,0.0,-11.651461601257324,7.838143825531006,3.1966960430145264,2108.9375,0
9.893000000000029,0.021822379902005196,-0.026552803814411163,0.00040611388976685703,0.0,0.0,0.0,0.0,0.002497567795217037,0.007165532559156418,-0.003144177608191967,0.9994940161705017,0.0,0.0,0.0,-11.639517784118652,7.8318047523498535,3.190032482147217,2106.77587890625,0
19.771999999999025,0.021830884739756584,-0.026523012667894363,0.0003844503662548959,0.0,0.0,0.0,0.0,-0.0009203344816341996,-0.00011075177462771535,0.0018758540973067284,0.999700129032135,0.0,0.0,0.0,-11.652923583984375,7.836329936981201,3.189594030380249,2109.2021484375,0
29.671000000000276,0.021865228191018105,-0.02634478732943535,0.0004384151834528893,0.0,0.0,0.0,0.0,0.00195781490765512,-0.0036281428765505552,-0.0035625873133540154,0.997077226638794,0.0,0.0,0.0,-11.6318359375,7.8650970458984375,3.1818180084228516,2105.38525390625,0
39.54399999999987,0.02181055024266243,-0.026518940925598145,0.0003498610749375075,0.0,0.0,0.0,0.0,0.0016154579352587461,-0.00018685123359318823,0.0014322733040899038,1.0004618167877197,0.0,0.0,0.0,-11.65386962890625,7.824888706207275,3.175504207611084,2109.37353515625,0
49.443999999999505,0.021834783256053925,-0.026346366852521896,0.0004123495309613645,0.0,0.0,0.0,0.0,0.0005984744639135897,-0.002018656814470887,0.003304977435618639,1.0040473937988281,0.0,0.0,0.0,-11.630783081054688,7.855414867401123,3.171539068222046,2105.19482421875,0
59.31499999999869,0.021753493696451187,-0.026486502960324287,0.0003307559818495065,0.0,0.0,0.0,0.0,-0.00016980126383714378,0.0025131218135356903,0.0015617161989212036,1.0020207166671753,0.0,0.0,0.0,-11.651205062866211,7.8228349685668945,3.1686766147613525,2108.89111328125,0
69.21799999999894,0.02178734913468361,-0.02631818875670433,0.0003791620838455856,0.0,0.0,0.0,0.0,0.0008613169193267822,0.0007324060425162315,-0.0014361744979396462,0.9992465972900391,0.0,0.0,0.0,-11.63149356842041,7.848323345184326,3.1573853492736816,2105.323486328125,0
79.08599999999933,0.02176510915160179,-0.026540987193584442,0.0002811336889863014,0.0,0.0,0.0,0.0,-0.0010885857045650482,0.0006162613281048834,0.003092347178608179,1.0008293390274048,0.0,0.0,0.0,-11.643058776855469,7.809203624725342,3.157709836959839,2107.416748046875,0
88.98300000000017,0.021800359711050987,-0.026353944092988968,0.00033716054167598486,0.0,0.0,0.0,0.0,0.0009729622979648411,0.0035046415869146585,-0.0013754050014540553,1.0010857582092285,0.0,0.0,0.0,-11.62031364440918,7.839737892150879,3.1468608379364014,2103.2998046875,0
98.85599999999977,0.021852850914001465,-0.02657189406454563,0.00027681951178237796,0.0,0.0,0.0,0.0,-0.0016408555675297976,-1.702873851172626e-05,-0.0019150306470692158,0.9996752142906189,0.0,0.0,0.0,-11.640149116516113,7.801882743835449,3.1564948558807373,2106.89013671875,0
108.75900000000001,0.021870503202080727,-0.026412753388285637,0.00034923560451716185,0.0,0.0,0.0,0.0,0.0018961814930662513,-0.0009455571416765451,-0.00288567622192204,0.999294102191925,0.0,0.0,0.0,-11.620838165283203,7.829525470733643,3.1390724182128906,2103.394775390625,0
118.62799999999879,0.02182362601161003,-0.02655191347002983,0.0002881836553569883,0.0,0.0,0.0,0.0,0.00023676970158703625,0.0006834683590568602,-0.0003280747914686799,0.9985747337341309,0.0,0.0,0.0,-11.640085220336914,7.807773590087891,3.1322035789489746,2106.878662109375,0
128.53099999999904,0.021849211305379868,-0.026381079107522964,0.00035500756348483264,0.0,0.0,0.0,0.0,0.00014413471217267215,0.0013948437990620732,-0.0031332001090049744,0.9978673458099365,0.0,0.0,0.0,-11.621203422546387,7.8382368087768555,3.123666524887085,2103.4609375,0
138.40899999999965,0.02183009311556816,-0.0265454463660717,0.00029103877022862434,0.0,0.0,0.0,0.0,0.00018904157332144678,0.0023830130230635405,0.0021577952429652214,0.9991337656974792,0.0,0.0,0.0,-11.633468627929688,7.80658483505249,3.1196937561035156,2105.680908203125,0
148.29500000000007,0.021835794672369957,-0.026433024555444717,0.0003548822132870555,0.0,0.0,0.0,0.0,-0.0006069356459192932,0.0035733203403651714,-0.0007558161742053926,0.9993922114372253,0.0,0.0,0.0,-11.612455368041992,7.826038360595703,3.0949783325195312,2101.87744140625,0
158.17100000000028,0.021811947226524353,-0.02657145820558071,0.0003011161752510816,0.0,0.0,0.0,0.0,0.00036086764885112643,-0.00026351521955803037,-0.002826102077960968,0.9992381930351257,0.0,0.0,0.0,-11.631505966186523,7.805190086364746,3.0893919467926025,2105.32568359375,0
168.0689999999995,0.02184499427676201,-0.026407916098833084,0.0003568078391253948,0.0,0.0,0.0,0.0,0.0005039380048401654,-0.004298390820622444,0.0008515497902408242,0.9997752904891968,0.0,0.0,0.0,-11.615143775939941,7.825643062591553,3.082507610321045,2102.3642578125,0
