timestamp,ctrltarget.x,ctrltarget.y,ctrltarget.z,ctrltarget.vx,ctrltarget.vx,ctrltarget.vx
442676,0.0,0.0,0.0,0.0,0.0,0.0
442776,0.0,0.0,0.0,0.0,0.0,0.0
442876,0.0,0.0,0.0,0.0,0.0,0.0
442976,0.0,0.0,0.0,0.0,0.0,0.0
443076,0.0,0.0,0.0,0.0,0.0,0.0
443176,0.0,0.0,0.0,0.0,0.0,0.0
443276,0.0,0.0,0.0,0.0,0.0,0.0
443376,0.0,0.0,0.0,0.0,0.0,0.0
443476,0.0,0.0,0.0,0.0,0.0,0.0
443576,0.0,0.0,0.0,0.0,0.0,0.0
443676,-0.01585598848760128,0.02034083940088749,-0.001506479806266725,0.002400703728199005,0.002400703728199005,0.002400703728199005
443776,-0.01585598848760128,0.02034083940088749,0.010371571406722069,4.0005892515182495e-05,4.0005892515182495e-05,4.0005892515182495e-05
443876,-0.01585598848760128,0.02034083940088749,0.05079631507396698,0.0063462890684604645,0.0063462890684604645,0.0063462890684604645
443976,-0.01585598848760128,0.02034083940088749,0.11751779168844223,-2.7944537794866164e-09,-2.7944537794866164e-09,-2.7944537794866164e-09
444076,-0.01585598848760128,0.02034083753824234,0.21778924763202667,-7.897743792284473e-09,-7.897743792284473e-09,-7.897743792284473e-09
444176,-0.01585599035024643,0.02034083381295204,0.32505521178245544,-1.758791157158157e-08,-1.758791157158157e-08,-1.758791157158157e-08
444276,-0.01585599221289158,0.020340828225016594,0.4154076874256134,-3.358065470138172e-08,-3.358065470138172e-08,-3.358065470138172e-08
444376,-0.015855997800827026,0.0203408170491457,0.4727005660533905,-5.7450680657211706e-08,-5.7450680657211706e-08,-5.7450680657211706e-08
444476,-0.015856005251407623,0.020340802147984505,0.4961879551410675,-9.038416948214945e-08,-9.038416948214945e-08,-9.038416948214945e-08
444576,-0.01585601642727852,0.020340779796242714,0.4999842643737793,-1.328947405454528e-07,-1.328947405454528e-07,-1.328947405454528e-07
444676,-0.015853332355618477,0.020340710878372192,0.49995970726013184,0.00014093863137532026,0.00014093863137532026,0.00014093863137532026
444776,-0.015783099457621574,0.020339729264378548,0.4997485280036926,0.0016322867013514042,0.0016322867013514042,0.0016322867013514042
444876,-0.015437609516084194,0.020335044711828232,0.4993729591369629,0.005899108946323395,0.005899108946323395,0.005899108946323395
444976,-0.014486871659755707,0.020322229713201523,0.49884748458862305,0.013981501571834087,0.013981501571834087,0.013981501571834087
445076,-0.012516701593995094,0.020295729860663414,0.49819138646125793,0.026561498641967773,0.026561498641967773,0.026561498641967773
445176,-0.009059828706085682,0.020249275490641594,0.4974265992641449,0.04401843249797821,0.04401843249797821,0.04401843249797821
445276,-0.0036254622973501682,0.02017628215253353,0.49657726287841797,0.06645933538675308,0.06645933538675308,0.06645933538675308
445376,0.004275931976735592,0.020070184022188187,0.49566856026649475,0.09375783056020737,0.09375783056020737,0.09375783056020737
445476,0.015111248940229416,0.019924717023968697,0.4947260618209839,0.1255892515182495,0.1255892515182495,0.1255892515182495
445576,0.02930676005780697,0.019734160974621773,0.49377474188804626,0.16146403551101685,0.16146403551101685,0.16146403551101685
445676,0.04723334312438965,0.01949354074895382,0.492838591337204,0.20075905323028564,0.20075905323028564,0.20075905323028564
445776,0.0691947415471077,0.019198784604668617,0.4919400215148926,0.24274735152721405,0.24274735152721405,0.24274735152721405
445876,0.09542735666036606,0.018846720457077026,0.491099089384079,0.2866394519805908,0.2866394519805908,0.2866394519805908
445976,0.12606047093868256,0.018435614183545113,0.4903343915939331,0.3315548300743103,0.3315548300743103,0.3315548300743103
446076,0.1611606925725937,0.017964571714401245,0.4896610379219055,0.3766269385814667,0.3766269385814667,0.3766269385814667
446176,0.20069974660873413,0.017433974891901016,0.4890916645526886,0.42097222805023193,0.42097222805023193,0.42097222805023193
446276,0.24456244707107544,0.016845369711518288,0.48863598704338074,0.46372324228286743,0.46372324228286743,0.46372324228286743
446376,0.2925490140914917,0.016201436519622803,0.4883008599281311,0.5040473937988281,0.5040473937988281,0.5040473937988281
446476,0.34439632296562195,0.015505706891417503,0.48809006810188293,0.5411742329597473,0.5411742329597473,0.5411742329597473
446576,0.3997182548046112,0.014763361774384975,0.4880048930644989,0.574365496635437,0.574365496635437,0.574365496635437
446676,0.45810896158218384,0.013979845680296421,0.48804354667663574,0.6029968857765198,0.6029968857765198,0.6029968857765198
446776,0.519088864326477,0.013161596842110157,0.48820194602012634,0.6265226006507874,0.6265226006507874,0.6265226006507874
446876,0.582128643989563,0.012315711937844753,0.4884735941886902,0.6444962024688721,0.6444962024688721,0.6444962024688721
446976,0.6466604471206665,0.011449816636741161,0.4888499677181244,0.6183536052703857,0.6183536052703857,0.6183536052703857
447076,0.7120875120162964,0.010571910999715328,0.48932066559791565,0.6478980779647827,0.6478980779647827,0.6478980779647827
447176,0.7777970433235168,0.00969022884964943,0.4898739457130432,0.6625693440437317,0.6625693440437317,0.6625693440437317
447276,0.8368416428565979,0.008897967636585236,0.4904334247112274,0.6566660404205322,0.6566660404205322,0.6566660404205322
447376,0.9013853073120117,0.0080319344997406,0.4911070764064789,0.6446449160575867,0.6446449160575867,0.6446449160575867
447476,0.9644234776496887,0.0071860989555716515,0.49182313680648804,0.6267344951629639,0.6267344951629639,0.6267344951629639
447576,1.0254452228546143,0.0063673220574855804,0.4925677180290222,0.6032548546791077,0.6032548546791077,0.6032548546791077
447678,1.0894088745117188,0.0055090803653001785,0.49339985847473145,0.5716279745101929,0.5716279745101929,0.5716279745101929
